N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
87,"La explicación de la plausibilidad de los hallazgos principales, la confrontación de los puntos fuertes y débiles frente a otros estudios, así como la descripción de las implicancias dentro de su contexto. ¿A qué sección estructural del artículo científico corresponde?",Discusión,Introducción,Resultados,Metodología,A,Discusión
88,"Una estrategia para la prevención del dengue es utilizar medios alternativos de comunicación de la comunidad, para asegurar la cobertura a toda la población sin segregar a ningún sector, por ejemplo, haciendo ...... en peluquerías, ferias y medios de comunicación local, para así transmitir el mensaje con un lenguaje claro, concreto y entendible.",alianzas estratégicas,promoción de la salud,acuerdos intersectoriales,convenios públicos,A,alianzas estratégicas
89,"En el establecimiento de salud Las Flores laboran 20 personas, de los cuales 3 profesionales cuentan con estudios de diplomados y maestría en modelo de cuidado integral por curso de vida y un personal técnico es regidor del área de salud de la municipalidad distrital; por lo tanto, podemos señalar que se cuenta con …… y ……  para la implementación y desarrollo del plan de salud local.",capacitación / organización,presupuesto / priorización,planificación / gestión,fortalezas / oportunidades,D,fortalezas / oportunidades
90,"En la consulta médica se atiende a un varón adulto, para descartar riesgo cardiovascular; por lo que de acuerdo a las recomendaciones de la Organización Mundial de la Salud se le recomienda realizar ...... minutos a más semanales de actividad física de intensidad moderada.",150,100,60,120,A,150
91,"En cuanto a los exámenes auxiliares en pacientes fallecidos con probable diagnóstico de dengue, la muestra para laboratorio se puede obtener de tejido del hígado, bazo y ganglios linfáticos antes de las ...... horas de fallecido.",48,36,72,24,D,24
92,El incremento de la morbimortalidad por dengue ha generado intervenciones como el proyecto Wolbachia y la vacunación contra el dengue. Dentro de la transición epidemiológica estas actividades se corresponden con cambios en:,Cambios en la antigenicidad,Impacto de la investigación científica,Resistencia bacteriana,Factores de modernización,B,Impacto de la investigación científica
93,"Teleinterconsulta es la consulta a distancia mediante el uso de las TIC, que realiza un personal de salud a un profesional de la salud, para la atención de una persona usuaria, pudiendo ésta estar o no ......; con fines de promoción, prevención, diagnóstico, tratamiento, recuperación, rehabilitación y cuidados paliativos según sea el caso.",disponible,de acuerdo,enfermo,presente,D,presente
94,"¿En qué documento de gestión se hacen los cambios en la programación de las metas físicas, incorporación o inactivación de actividades operativas por cambios en el entorno, cumplimiento de nuevas disposiciones emitidas por el ejecutivo o legislativo?",PSL,PEI,POI,ASIS,C,POI
95,"Usuaria de 24 años, acude a consulta psicológica indicando que nadie le cree, pero le han hecho brujería; un curandero le pasó el cuy negro por todo el cuerpo, se sintió mejor; pero nuevamente empezó a sentirse mal, fue con una curandera, quien le dice que el daño que tiene es muy grave. El psicólogo identifica indicadores de trastorno ansioso. ¿Qué acciones debe realizar para que la usuaria acepte el manejo en el establecimiento?",Reforzar el esquema cultural,Referencia a medicina,Referencia a psiquiatría,Reducir las barreras culturales,D,Reducir las barreras culturales
96,"De acuerdo a la norma técnica para el cuidado integral del adolescente, el equipo multidisciplinario puede realizar el abordaje en la institución educativa y deberá continuar la atención en:",Los espacios comunitarios,El auditorio municipal,Los establecimientos de salud,El área de psicología de la I.E. 09 de agosto 2026,C,Los establecimientos de salud
97,"El médico jefe de un establecimiento de salud, aborda el tema de vigilancia epidemiológica, refiere que cada tipo de vigilancia tiene su propio proceso. Dada la alerta de sarampión su personal está buscando, notificando y registrando casos en visitas domiciliarias. ¿Qué tipo de vigilancia está aplicando?",Centinela,Especializada,Activa,Pasiva,C,Activa
98,El estado de salud de una jurisdicción se puede evaluar a través del cumplimiento de …… sanitarios de los diferentes componentes de cada uno de los cursos de vida.,paquetes,objetivos,indicadores,contextos,C,indicadores
99,"En el adolescente, el alcanzar el desarrollo físico, maduración mental, desarrollo emocional y desarrollo social, es un objetivo de:",Promoción de la salud,Rehabilitación en salud,Componente de salud,Cuidado integral por curso de vida,D,Cuidado integral por curso de vida
100,"A la percepción colectiva de satisfacción de los/las servidores/as civiles sobre el ambiente de trabajo, se le denomina:",Clima organizacional,Cultura organizacional,Percepción compartida,Ambiente laboral agradable,A,Clima organizacional
