Examen,Bloque/Tipo,N° Pregunta,Pregunta,Opción A,Opción B,Opción C,Opción D,Respuesta Correcta,Texto Respuesta Correcta
2024-II,Medicina II,42,¿Qué profesional debe tener la custodia de oxígeno medicinal en un establecimiento de salud?,Químico farmacéutico,Médico,Enfermera,Técnico de farmacia,A,Químico farmacéutico
2024-II,Medicina II,43,¿Cuál de los siguientes enunciados es un indicador de estructura en la vigilancia epidemiológica en adolescentes?,% de adolescentes con consejería en salud sexual y reproductiva,% de adolescentes con consejería en salud nutricional,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes,% de atenciones preventivas en adolescentes con SIS,C,% de regiones que cuentan con un documento de análisis de situación de salud regional de adolescentes
2024-II,Medicina II,44,"En una reunión de la Microred Pinchollo, se hace una evaluación de cumplimiento de indicadores FED; donde para el indicador ""porcentaje de niñas y niños de 12 a 18 meses, con diagnóstico de anemia entre los 6 y 11 meses, que se han recuperado"", del centro de salud de Agua Dura no se registra ningún niño con anemia como recuperado. ¿Dónde está el problema?",Perdida del DNI del niño,Error en el registro de HIS,Registro incorrecto de CVN,Incorrecto registro de niños en los hospitales,B,Error en el registro de HIS
2024-II,Medicina II,45,"Paciente de 20 años procedente de Camporedondo - Amazonas, presenta fiebre, ictericia y decaimiento hace 10 días acude a emergencia por escalofríos. Examen: PA: 100/70 mmHg, FC: 90 X’, Sat O2: 96% T°: 37,8 °C; AR: MV pasa en ACP; hígado: 15 cm de span. Laboratorio: formas cocobacilares de Bartonella. ¿Cuál es su diagnóstico?",Leptospirosis,Dengue,Malaria Vivax,Enfermedad de carrión,D,Enfermedad de carrión
2024-II,Medicina II,46,Se desea investigar los efectos de los macrólidos en bronquiolitis aguda; ¿Qué tipo de estudio sería el adecuado?,Descriptivo longitudinal,Descriptivo transversal,Analítico experimental,Analítico observacional,C,Analítico experimental
2024-II,Medicina II,47,¿Cuál es el recurso que utiliza el investigador para registrar información o datos sobre las variables estudiadas?,Instrumento de medición,Medida de estabilidad,Aparatos y equipos,Recolección de datos,A,Instrumento de medición
2024-II,Medicina II,48,¿Cuántos macroprocesos se evalúan para la acreditación de un establecimiento del primer nivel de atención I-4?,28,20,22,18,C,22
2024-II,Medicina II,49,Dentro de la ración de alimentos del PCA-PANTBC. ¿Cuál es el porcentaje de los requerimientos nutricionales calórico- proteicos al mes?,50,30,40,60,A,50
2024-II,Medicina II,50,¿Cuál de los siguientes enunciados está implicado en la gobernanza en salud pública?,Responsabilidad de los actores institucionales exclusivamente,Visión estratégica y ética de la salud,Formación de todo tipo de capital,Transparencia sin rendición de cuentas,B,Visión estratégica y ética de la salud
2024-II,Medicina II,51,"Después de haber utilizado benzodiacepinas por varios meses y retirar el fármaco de forma abrupta, se desarrolla rápidamente ansiedad, taquicardia, pesadillas, náuseas, insomnio entre otros síntomas. ¿Qué tipo de reacción adversa se ha presentado?",RAM tipo B,RAM tipo C,RAM tipo E,RAM tipo A,C,RAM tipo E
2024-II,Medicina II,52,Para recomendar la puesta en marcha de un programa de prevención secundaria respecto a un problema de salud determinado. ¿Cuál es uno de los tres grupos principales de factores a tener en cuenta?,Relativos al problema de salud,Enfocados en rehabilitación,Relacionados al contexto,Enfocados en tratamiento,A,Relativos al problema de salud
2024-II,Medicina II,53,"Cuando nos referimos a toda acción o actividad que realizan los otros profesionales de la salud para la promoción, prevención, recuperación y rehabilitación de la salud, según corresponda, que se brinda al paciente, familia y comunidad, hablamos de:",Atención de salud,Acto de salud,Auditoría,Acto médico,B,Acto de salud
2024-II,Medicina II,54,"¿Cuál es la gestión del proceso que permite a las entidades socializar y facilitar la interrelación y adaptación de manera planificada de las personas que ingresan a un puesto de la entidad, de forma que se le brinde la información relacionada al funcionamiento general del estado, a su institución, a sus normas internas y a su puesto?",Inducción,Reunión,Taller,Capacitación,A,Inducción
2024-II,Medicina II,55,Según el perímetro abdominal para la edad. ¿Qué valor determina riesgo alto para tener enfermedades cardiovasculares y metabólicas en adolescentes?,Percentil ≥90,Circunferencia abdominal >80 cm,Percentil ≥75 y <90,Circunferencia abdominal ≥75 cm,C,Percentil ≥75 y <90
2024-II,Medicina II,56,"Un estudio de investigación, que no se realiza sobre datos primarios, sino que utiliza los datos recogidos previamente en otros estudios. ¿A qué tipo de estudio hace referencia?",Descriptivo,Cohortes,Analítico,Revisión sistemática,D,Revisión sistemática
2024-II,Medicina II,57,¿Cuál es la ciencia que nos proporciona la metodología apropiada para investigar y contextualizar los problemas y situaciones de salud?,Epistemología,Epidemiología,Ética,Estadística,B,Epidemiología
2024-II,Medicina II,58,¿Cuál es la etapa donde el curso de la enfermedad va desde el influjo de los factores causales hasta las primeras manifestaciones clínicas inespecíficas?,Subclínica,Prodrómica,Clínica,Prepatogénica,A,Subclínica
2024-II,Medicina II,59,"El jefe de un establecimiento de salud, revisa conjuntamente con su equipo de gestión los resultados de la encuesta de satisfacción del usuario e identifican que el problema principal es el tiempo de demora en la atención. Por lo tanto, evalúan la brecha de recursos humanos para hacer el requerimiento para tal fin. ¿Qué documento de gestión es necesario para evaluar la brecha?",MOF - CAP,ROF – CAP,CAP – POI,PEI- MAPRO,B,ROF – CAP
2024-II,Medicina II,60,"El responsable del establecimiento de salud, han identificado que tienen una gran población de mujeres en edad fértil procedentes de Venezuela. Con el fin de promover un mejor proceso de integración como sociedad de acogida y al uso de servicios de sanitarios, planifica capacitar a su personal. ¿Cuál sería el tema principal de la capacitación?",Respeto al usuario,Empatía y buenas prácticas en salud,Etnocentrismo y relativismo cultural,Charla de drogas y violencia,C,Etnocentrismo y relativismo cultural
2024-II,Medicina II,61,Durante la evaluación realizada de indicadores de gestión de medicamentos esenciales. ¿Cuál debe ser el valor de disponibilidad óptimo esperado que debe obtener la farmacia?,75% a 80%,80% a 85%,90% a 100%,85% a 89%,C,90% a 100%
2024-II,Medicina II,62,Se desea estimar la prevalencia de la neumonía adquirida en la comunidad en la población pediátrica de 2 a 5 años en las escuelas de su jurisdicción. Para controlar el sesgo de selección. ¿Qué tipo de muestreo se debe realizar?,No probabilístico,Aleatorio simple,Estratificado,Por conglomerados,B,Aleatorio simple
2024-II,Medicina II,63,"¿Cómo se define cuando los pacientes reciben la medicación adecuada a sus necesidades clínicas, en las dosis correspondientes a sus requisitos individuales, durante un período de tiempo adecuado y al menor costo posible para ellos y para la comunidad?",Atención farmacéutica,Estudios clínicos,Seguimiento farmacoterapéutico,Uso racional de medicamentos,D,Uso racional de medicamentos
2024-II,Medicina II,64,De los factores relativos a las pruebas; el que se relaciona con la operatividad de las pruebas es la…,aceptabilidad.,susceptibilidad.,validez.,sensibilidad.,A,aceptabilidad.
2024-II,Medicina II,65,"En el caso de tratamientos especiales, nuevas modalidades de atención, práctica de procedimiento o intervenciones que puedan afectar psíquica o físicamente al paciente; y la participación del paciente en actividades de docencia, debe realizarse y registrarse con el formato de...",autorización de atención.,permiso del paciente.,consentimiento informado.,solicitud de atención.,C,consentimiento informado.
2024-II,Medicina II,66,"Luego del proceso de evaluación SERUMS, se le asigna laborar en un establecimiento de salud I-2, con una población asignada de 2550 personas. De acuerdo a normativa vigente. ¿Con qué personal de salud debe contar el establecimiento?","Enfermera, obstetra y técnico de enfermería","Médico, enfermera, obstetra y técnico de enfermería","Médico, enfermera, biólogo, agentes comunitarios","Médico, enfermera y auxiliar de enfermería",B,"Médico, enfermera, obstetra y técnico de enfermería"
2024-II,Medicina II,67,"Según la norma técnica de salud para la acreditación de establecimientos de salud y servicios médicos de apoyo, las fases de acreditación son:",Autoevaluación y evaluación externa,Autoanálisis y evaluación anual,Evaluación y evaluación interna,Análisis situacional y evaluación interna,A,Autoevaluación y evaluación externa
2024-II,Medicina II,68,Las creencias que presenta una comunidad determinándolo como válido y propio en su desarrollo cultural no presentando participación en la comunidad ni en el sistema de salud. ¿Qué tipo de problema intercultural presenta?,Desarrollo social,Bioética,Conflicto intercultural,Aculturación,C,Conflicto intercultural
2024-II,Medicina II,69,"El responsable de capacitación del establecimiento de salud solicita el plan de capacitación a cada servicio. Para ello el encargado del servicio de medicina se reúne con su personal, para realizar el análisis FODA y necesidades de capacitación. ¿Qué componente pertenece al análisis interno?",Fortaleza,Oportunidades,Amenazas,Competencias,A,Fortaleza
2024-II,Medicina II,70,En los cuidados individuales por curso de vida adulto mayor; en el entorno comunitario contempla:,La prevención de las caídas entre otros,El control glicemia,Control de presión arterial,Control de colesterol en sangre,A,La prevención de las caídas entre otros
2024-II,Medicina II,71,"En una visita domiciliaria se encuentra que en la familia Zegarra, el padre de 42 años es diabético de 10 años de evolución; el hijo mayor de 16 años tiene IMC: 27, glicemia en ayunas de 130 mg/dl; madre de 34 años tiene IMC: 23. El médico recomienda dieta hipocalórica e hipograsa. Esta medida está en nivel de prevención:",Terciaria,Secundaria,Primaria,Cuaternaria,C,Primaria
2024-II,Medicina II,72,"El médico SERUMS del puesto de salud, organiza un taller para autoexamen de mama con las mujeres del comedor popular de su distrito; allí explica la técnica del autoexamen y factores de riesgo para cáncer de mama. ¿Qué fomenta esta intervención?",Tratamiento,Autocuidado,Diagnóstico,Rehabilitación,B,Autocuidado
2024-II,Medicina II,73,¿Cuál es una de las causales de exclusión de proveedores adjudicatarios?,Cuando su empresa no cuente con RUC vigente,Cuando sea persona natural,Cuando este impedido de contratar con el estado,Cuando el consorcio no esté registrado,C,Cuando este impedido de contratar con el estado
2024-II,Medicina II,74,"Paciente, quechua hablante de 44 años aún fértil, madre de 6 hijos, con enfermedad de hipertensión arterial, se niega a utilizar métodos anticonceptivos. ¿Qué acción debe tomar con respecto a este caso?",Respetar su decisión,Solicitar evaluación psicológica,Persuadirla a que utilice anticonceptivos,Llamar a su pareja para que decida por ella,A,Respetar su decisión
2024-II,Medicina II,75,Puérpera con diagnóstico confirmatorio de sífilis; tratamiento incompleto; al recién nacido se considera neonato con sífilis congénita. ¿Cuál es la acción a seguir?,Evaluación diagnostica confirmatoria,Derivar a establecimiento resolutivo,Tratamiento farmacológico inmediato,Tratamiento alternativo,B,Derivar a establecimiento resolutivo
2024-II,Medicina II,76,"Gestante llega al centro materno infantil, aproximadamente a las 11 pm, durante el proceso de la atención del parto, el bebé cae al balde de desecho provocándole luxación de la clavícula. El equipo de guardia inmediatamente procede a realizar la atención correspondiente, siendo derivado a un establecimiento de mayor capacidad resolutiva. El jefe del establecimiento solicita una auditoría. ¿Qué comité de auditoría se activará para este caso?",Comité de Auditoria Médica,Consejo de Auditoría Médica,Comité de Auditoría en Salud,Consejo de Auditoría profesional,C,Comité de Auditoría en Salud
2024-II,Medicina II,77,"Acuden a la emergencia médica, de un hospital de alta complejidad, dos pacientes provenientes de la selva peruana, ambos afiliados al Seguro Integral de Salud; uno de ellos viene con su respectiva referencia y el otro no. ¿Qué le corresponde hacer al médico tratante de la emergencia?",Atender solo al que cuenta con la respectiva referencia del SIS,Atender a los dos pacientes por igual,Deriva a la asistenta social para que evalue el caso,Derivar al paciente que no tiene referencia a su jurisdicción,B,Atender a los dos pacientes por igual
2024-II,Medicina II,78,"En la actividad de entrega de producto e información, dentro del proceso de dispensación farmacéutica de medicamentos de primera línea para la tuberculosis. ¿Cuál es una reacción adversa que debería de advertirse al paciente?",Neuritis periférica por isoniazida,Trombocitopenia por linezolid,Neuritis óptica por pirazinamida,Nefrotoxicidad por rifampicina,A,Neuritis periférica por isoniazida
2024-II,Medicina II,79,"Una investigación es un proceso sistemático, organizado y objetivo, destinado a responder a una pregunta. El término sistemático significa que se aplica...",el método científico.,el método hipotético.,el método epidemiológico.,el método clínico.,A,el método científico.
2024-II,Medicina II,80,"¿Cuál es el criterio que determina: ""el grado en el que un programa de salud puesto en práctica logra lo que se pretende conseguir en una población determinada""?",Eficacia,Efectividad,Eficiencia,Factibilidad,B,Efectividad
2024-II,Medicina II,81,"En bioestadística, las observaciones cuantitativas que brindan datos discretos corresponden a ...",valores individuales que sólo aceptan números enteros.,valor que se puede dividir en infinitos valores entre dos puntos cualquiera.,valor que se puede dividir en fracciones entre dos puntos cualquiera.,un número infinito de fracciones entre dos puntos de la escala.,A,valores individuales que sólo aceptan números enteros.
2024-II,Medicina II,82,"Dentro de sus intervenciones a realizar en su establecimiento de salud, prioriza el programa articulado nutricional (PAN). ¿Cuál es el objetivo del programa?",Disminución la desnutrición aguda en menores de 3 años,Disminución de la malnutrición en menores de un año,Reducción de la desnutrición crónica en menores de 5 años,Reducción de desnutrición y anemia en niños,C,Reducción de la desnutrición crónica en menores de 5 años
2024-II,Medicina II,83,"Paciente varón de 35 años que trabaja habitualmente en el sector agrícola, acude junto a su familiar al centro de salud donde realiza su SERUMS, manifestando desorientación, mareos, bradicardia, dificultad respiratoria y relajación de esfínteres. El familiar manifiesta que el paciente estaba manipulando plaguicidas y parte de este se derramó en gran parte de su vestimenta. ¿Cuál es el tratamiento de primera línea?",Adrenalina,Atropina,Naloxona,Flumazenil,B,Atropina
2024-II,Medicina II,84,"Las farmacias de los establecimientos de salud del MINSA a nivel nacional. ¿Qué sistema de información deben manejar para remitir información de consumo integrado de productos farmacéuticos, dispositivos médicos y productos sanitarios?",SISMED,Sisgalen,Farmax,Galeno,A,SISMED
2024-II,Medicina II,85,"¿Cuál es un ámbito que se debe considerar, en un foco ampliado del modelo integral de atención, encargada de las actividades de diagnóstico precoz y tratamiento oportuno?",Medicina en domicilio y comunidad,Consulta ambulatoria,Hospitalizaciones,Urgencias y observación,B,Consulta ambulatoria
2024-II,Medicina II,86,¿Cuál de las siguientes acciones forma parte de una prevención específica?,Propicia la actividad física en la comunidad,Sensibiliza a la población la no ingesta de alcohol,Promueve el uso de condón,Incrementa la cobertura en el programa de inmunización,D,Incrementa la cobertura en el programa de inmunización
2024-II,Medicina II,87,"¿Es un instrumento que facilita el enfoque sistémico familiar en atención a la persona y proporciona una visión rápida e integrada de los problemas biomédicos y psicosociales, además de establecer las relaciones familiares?",Genograma,Tipología familiar,Círculo familiar,Apgar familiar,A,Genograma
2024-II,Medicina II,88,"El respeto que merece el paciente exige, hoy más que nunca, que los profesionales de la salud en general y los médicos en particular adquieran la suficiente habilidad comunicativa para que los pacientes realmente comprendan, por lo que la asertividad en la comunicación inicia con...",valorar lo justo y lo injusto.,saber escuchar.,discernir entre lo bueno y lo malo.,diferenciar lo correcto de lo incorrecto.,B,saber escuchar.
2024-II,Medicina II,89,Estudiando la prevalencia de anemia en 2020 en la población de Huancavelica encontramos que mantienen patrones culturales asociados a ingestas deficientes y aunadas a costumbres alimentarias de la región. ¿Qué aspecto de la interculturalidad vienen desarrollando?,Bioética,Medicina holística,Derechos humanos,Etnocentrismo,D,Etnocentrismo
2024-II,Medicina II,90,Cuando el evento definitivamente no está relacionado a la vacuna y se identifica una etiología o patología que explica de manera razonable el cuadro clínico (enfermedad producida por otra etiología). ¿A qué tipo de ESAVI corresponde?,Evento no concluyente,Inmunización,RAM,Evento coincidente,D,Evento coincidente
2024-II,Medicina II,91,"En consulta a paciente adolescente el médico realiza la evaluación antropométrica; al tomar pliegues cutáneos y perímetros, no realiza consentimiento informado. ¿Qué principio ético está vulnerando?",Justicia,No maleficencia,Beneficencia,Autonomía,D,Autonomía
2024-II,Medicina II,92,"Paciente de 30 años procedente de zona infestada por Aedes aegypti, presenta hace 5 días fiebre y dolor muscular, además se agrega dolor abdominal y plaquetas: 80,000/dl. ¿Cuál es el diagnóstico?",Dengue,Dengue grave,Dengue sin signos de alarma,Dengue con signos de alarma,D,Dengue con signos de alarma
2024-II,Medicina II,93,"Paciente que acude a su establecimiento de salud, con una glicemia en ayudas de 201 mg/dl, baja de peso, polidipsia y polifagia; el médico diagnostica diabetes mellitus tipo 2, indicando glimepirida. ¿A qué familia de drogas antidiabéticas pertenece?",Sulfonilureas,Metformina,Glitazonas,Glifozinas,A,Sulfonilureas
2024-II,Medicina II,94,"Adulto mayor acude a un establecimiento de salud I-1, se le capta para realizar su cuidado integral. ¿Qué tipo de valoración clínica del adulto mayor (VACAM) le corresponde?",Corta,Breve,Completa,Integral,B,Breve
2024-II,Medicina II,95,Las dimensiones del clima organizacional son las características susceptibles de ser medidas en una organización y que influyen en el comportamiento de los individuos. Una de las más importantes dimensiones se refiere al nivel de colaboración que se observa entre los empleados en el ejercicio de su trabajo y en los apoyos materiales y humanos que éstos reciben de su organización. ¿Cuál es esa dimensión?,Estructura,Confort,Conflicto y cooperación,Comunicación,C,Conflicto y cooperación
2024-II,Medicina II,96,"La definición de caso de enfermedad diarreica persistente, es la que se presenta con un cuadro diarreico que inicia con una diarrea aguda infecciosa, pero se prolonga por ...... días o más.",07,10,21,14,D,14
2024-II,Medicina II,97,"Niño de 6 meses de edad, traido a su control de crecimiento y desarrollo al centro de salud de Paracas donde usted labora. Examen peso: 8 Kg. Hb: 10.8 g/dl. De acuerdo a la norma técnica de anemia 2024. ¿Cuál es la dosis de suplementación en mg indicada?",16,40,24,32,A,16
2024-II,Medicina II,98,"Mujer de 75 años con diagnóstico de insuficiencia cardiaca y diabetes mellitus 2, recibiendo el siguiente tratamiento farmacológico: losartán 50 mg c/24 h, espironolactona 25 mg c/24 h, bisoprolol 5 mg c/24 h, metformina 850 mg c/24 h. Resultados de control de laboratorio: Na: 140 mEq/L, K: 6.3 mEq/L, glucosa: 90 mg/dL. ¿Cuáles son los fármacos responsables del problema electrolítico?",Bisoprolol - espironolactona,Losartán - metformina,Losartán - espironolactona,Metformina - espironolactona,C,Losartán - espironolactona
2024-II,Medicina II,99,"Confirma o refuta los datos preliminares, solidifica las conclusiones y asienta las bases para la generalización científica o estadística de los resultados a la población de interés:",Comparabilidad a lo largo del estudio,Muestra adecuada y representativa,Definición clara y precisa del objetivo,El adecuado análisis de datos,D,El adecuado análisis de datos
2024-II,Medicina II,100,Al conjunto al que se le quiere medir la distribución de variables en toda investigación se le conoce como:,Muestra,Variable,Parámetro,Población,D,Población
2025-I,Medicina Tipo A,1,"Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:",Estilo de vida,Hábito saludable,Autocuidado,Práctica,A,Estilo de vida
2025-I,Medicina Tipo A,2,"Los medicamentos que han perdido su eficacia y que han llevado a diezmar la efectividad en la lucha contra la tuberculosis, las enfermedades diarreicas y la neumonía debido a la resistencia antimicrobiana, se debe a:",Uso irracional de medicamentos,Uso de medicamentos genéricos,Petitorio de los mismos medicamentos,Uso adecuado de medicamentos de marca,A,Uso irracional de medicamentos
2025-I,Medicina Tipo A,3,"Comprende la sucesión de eventos que ocurren a lo largo de la existencia de las personas y la población, los cuales interactúan para influir en su salud desde la preconcepción hasta la muerte. ¿A qué definición se refiere?",Curso de vida,Cuidado integral,Vías de cuidados,Determinante social,A,Curso de vida
2025-I,Medicina Tipo A,4,Se labora en un establecimiento de salud donde no hay una visión definida sobre el trabajo que se realiza; y existen muchos problemas interpersonales. Si se desea cambiar esta situación. ¿Qué se debe mejorar?,Clima organizacional,Recursos humanos,Plan de acción,Proyecto de mejora,A,Clima organizacional
2025-I,Medicina Tipo A,5,"Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?",Artículo original,Revisión sistemática,Reporte de caso,Carta al editor,B,Revisión sistemática
2025-I,Medicina Tipo A,6,"Milena, una obstetra serumista coloca una ampolla intramuscular de metamizol a una gestante que viene con fiebre, minutos después siente mareos, nauseas y se observa en la zona de aplicación un rash; por tanto ella debe consignar en la historia clínica de manera obligatoria las sospechas de reacciones adversas y reportarlas en el formato correspondiente y remitirlo al comité de ...... y tecnovigilancia de la IPRESS en los plazos correspondientes.",auditoría interna,auditoría externa,control interno,farmacovigilancia,D,farmacovigilancia
2025-I,Medicina Tipo A,7,Al llegar a su comunidad de SERUMS observa que hay baja adherencia a la lactancia materna por lo cual plantea hacer una investigación sobre factores asociados a lactancia materna. ¿Qué debe realizar en primer lugar para su estudio?,Definir sus instrumentos de medición,Revisar literatura científica sobre el tema,Elaborar su pregunta de investigación,Elegir los objetivos de estudio,B,Revisar literatura científica sobre el tema
2025-I,Medicina Tipo A,8,"Si se orienta la formulación y actualización de las políticas y los planes en todos los niveles del gobierno, se refiere a ...…, a las cuales debe alinear sus objetivos operativos.",desarrollos institucionales,estrategias institucionales,acciones institucionales,organizaciones institucionales,B,estrategias institucionales
2025-I,Medicina Tipo A,9,En el manejo integral de una paciente de 50 años con diabetes mellitus tipo II. ¿Qué valor de hemoglobina glicosilada indica un control metabólico óptimo?,< 7.5%,< 7%,< 6.5%,< 6%,B,< 7%
2025-I,Medicina Tipo A,10,"Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?",Persuadir su deseo,Denegarle la atención,Respetar su pedido,Enviarla a otro establecimiento,C,Respetar su pedido
2025-I,Medicina Tipo A,11,Se define como transición epidemiológica al proceso de paso del predominio de enfermedades …… a la preponderancia de las enfermedades...,degenerativas / infecciosas.,crónicas / infecciosas.,infecciosas / crónicas.,infecciosas / prevalentes.,C,infecciosas / crónicas.
2025-I,Medicina Tipo A,12,"Madre quechua hablante de 30 años, tiene niño de un año con diarrea y deshidratación; ella niega su atención en el establecimiento de salud, porque según su creencia el caso corresponde a “susto” y lo debe atender el curandero. ¿Cómo procedes ante este caso?",Solicitar al presidente de la comunidad que intervenga,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias",Discrepas con su decisión porque no es correcto,Constatar con la policía y la autoridad comunal,B,"Llegas a un acuerdo en la terapia del niño, respetando sus creencias"
2025-I,Medicina Tipo A,13,"¿Cuál es el plazo máximo en días para entregar copia autenticada de la historia clínica y epicrisis, cuando el usuario de salud o su representante legal lo solicite?",5,7,10,3,A,5
2025-I,Medicina Tipo A,14,Dentro del paquete preventivo de salud del adolescente. ¿Cuántas mediciones al año de hemoglobina debe realizarse?,1,6,4,2,D,2
2025-I,Medicina Tipo A,15,El análisis de la situación actual es una fase del planeamiento estratégico. ¿En qué fase del ciclo se encuentra?,4,3,2,1,D,1
2025-I,Medicina Tipo A,16,"Un paciente fue referido para evaluación y tratamiento por una probable gastritis a un nivel de atención superior. Se resolvió su problema de salud de manera parcial, continuando su tratamiento en su establecimiento de origen. ¿En qué condición considera fue contrarreferido?",Curado,Retiro voluntario,Mejorado,Deserción,C,Mejorado
2025-I,Medicina Tipo A,17,"Salud Escolar lleva a cabo la vacunación masiva, descarte de anemia, cuidado de la salud bucal, desparasitación a los alumnos de las IE públicas. En cumplimiento al derecho de ......, se hace de conocimiento a los padres de familia quienes firman y el personal interviene atendiendo.",beneficencia,justicia,consentimiento informado,autorización,C,consentimiento informado
2025-I,Medicina Tipo A,18,Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?,Inferencial,Descriptivo,Inductivo,Probabilístico,A,Inferencial
2025-I,Medicina Tipo A,19,"En una institución educativa primaria de 100 alumnos, se presenta un brote de varicela con 50 casos. ¿Cuál es el indicador y el valor que corresponde para caracterizar el riesgo?","Tasa de prevalencia, 500 x 1000 hab","Razón de prevalencia, 50%","Tasa de incidencia, 50%","Tasa de ataque, 50%",C,"Tasa de incidencia, 50%"
2025-I,Medicina Tipo A,20,Cuenta con las herramientas administrativas para garantizar que la profesión se ejerza de manera ética. Este enunciado pertenece a la:,Deontología,Responsabilidad,Comisión de ética,Moral,A,Deontología
2025-I,Medicina Tipo A,21,¿Cuál es la sospecha diagnóstica de cáncer infantil más probable cuando hay un aumento no controlado de glóbulos blancos en la médula ósea?,Neuroblastoma,Linfoma,Leucemia,Tumor de Wilms,C,Leucemia
2025-I,Medicina Tipo A,22,Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...,usan datos específicos de información adicional.,usa mediciones sistemáticas.,incluye los procedimientos del proceso de la práctica «centinela».,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.,D,basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.
2025-I,Medicina Tipo A,23,"Un profesional de la salud desea realizar una ecografía, pero no cuenta en su centro con ese apoyo diagnóstico. Para realizar una referencia a otro establecimiento de salud. ¿Qué debe evaluar?",Categorización,Organigrama,Flujograma,Cartera de servicios,D,Cartera de servicios
2025-I,Medicina Tipo A,24,"Para investigar la relación entre la anemia y el peso de niños de 6° grado de primaria de un colegio, usted acude un día de la semana para medir la Hb y el peso a todos ellos. ¿Qué método de investigación está realizando?",Mixto,Experimental,Observacional,Cuasi experimental,C,Observacional
2025-I,Medicina Tipo A,25,"El lunes 30 de marzo se apersonan a un puesto de salud de categoría I-3, 15 personas con vómitos y diarrea, quienes participaron en una pollada el día anterior. El caso es identificado como una Enfermedad Transmitida por Alimentos. ¿En qué momento se realiza la notificación epidemiológica del brote al nivel inmediato superior?",De manera inmediata,Cuando se reporta el VEA de la semana,Al alta de los pacientes,Hasta las 48 horas,A,De manera inmediata
2025-I,Medicina Tipo A,26,"Para elaborar los planos de un futuro establecimiento de salud I-3, se reúne el equipo de salud. ¿Qué ambiente es necesario según normativa?",Zona de selección de residuos sólidos,Depósito y lavado de carros,Zona de almacenamiento de residuos contaminados,Área de internamiento,A,Zona de selección de residuos sólidos
2025-I,Medicina Tipo A,27,"Después de brindar una atención por violencia sexual a una paciente de 13 años, se debe presentar un informe social, requerido por las autoridades del Poder Judicial. Si hay información que faltan a la verdad está cometiendo actos en contra de:",Justicia,Ética,Responsabilidad,Beneficencia,B,Ética
2025-I,Medicina Tipo A,28,Usted se entera que en un EESS administraron una medicación que produjo un daño discapacitante en un paciente. ¿Qué medida inmediata hubiera tomado para manejar esta situación?,Informar a los familiares,Mejorar el proceso de atención sanitaria en EESS,Notificarlo al nivel inmediato superior,Medidas de mejora en el EESS,C,Notificarlo al nivel inmediato superior
2025-I,Medicina Tipo A,29,"Mujer de 52 años acude al establecimiento refiriendo sequedad vaginal y dispareunia desde hace unos 6 meses, tiene antecedente de menopausia hace un año. ¿Cuál es la conducta más apropiada para esta paciente?",Prescribir terapia de reemplazo hormonal,Recomendar uso de lubricante vaginal,Referir a especialista de ginecología,Prescribir estrógeno local vaginal,D,Prescribir estrógeno local vaginal
2025-I,Medicina Tipo A,30,"¿Cuáles son los medicamentos y productos biológicos que cubren la mayor parte de la morbilidad en el país, que luego de una evaluación técnica especializada multidisciplinaria han demostrado ser seguros, eficaces, costo-efectivos y deben estar disponibles en todo momento?",Genéricos,Comunes,Básicos,Esenciales,D,Esenciales
2025-I,Medicina Tipo A,31,Usted trabaja en un centro de salud y advierte que la población que acude son personas adultas mayores en un 80%. ¿Qué medida inicial puede tomar para mejorar su atención?,Tener un enfoque de derechos,Favorecer la participación de la familia,Promover la educación en la comunidad,Fortalecer su equipo multidisciplinario,D,Fortalecer su equipo multidisciplinario
2025-I,Medicina Tipo A,32,¿Quién es el responsable frente a la pérdida de la totalidad o parte de la historia clínica en el proceso de atención de salud?,Quien la entregó por última vez,Jefe de archivo de historias clínicas,Jefe del establecimiento de salud,Quien la recibió por última vez,D,Quien la recibió por última vez
2025-I,Medicina Tipo A,33,"La salud pública está afectada por sobrepoblación mundial, grandes conflictos políticos-sociales y la pobreza creciente; como consecuencia inicial de estos fenómenos. ¿Qué ocurre principalmente?",La aparición de enfermedades epidémicas,El surgimiento de nuevas enfermedades,El aumento en la incidencia de enfermedades,Las crisis psicosociales,C,El aumento en la incidencia de enfermedades
